cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
365,Science Press,Science Press,Science Press,1,100.0,2,1,"Global Science Press, Science Press"
365,Science Press,Science Press,Global Science Press,1,100.0,2,1,"Global Science Press, Science Press"
366,The Association for Child and Adolecent Mental Health,The Association for Child and Adolecent Mental Health,The Association for Child and Adolecent Mental Health,1,100.0,1,1,The Association for Child and Adolecent Mental Health
367,Psychreg,Psychreg Ltd,Psychreg Ltd,9,100.0,2,9,"Psychreg, Psychreg Ltd"
367,Psychreg,Psychreg Ltd,Psychreg,1,100.0,2,9,"Psychreg, Psychreg Ltd"
368,JAMA Network,JAMA Network,JAMA Network,2,100.0,1,2,JAMA Network
369,University of Waterloo,University of Waterloo,University of Waterloo,2,100.0,1,2,University of Waterloo
370,Organization for Transformative Works,Organization for Transformative Works,Organization for Transformative Works,1,100.0,1,1,Organization for Transformative Works
371,Aarhus University Library,Aarhus University Library,Aarhus University Library,1,100.0,1,1,Aarhus University Library
372,International Reading Association,International Reading Association,International Reading Association,3,100.0,1,3,International Reading Association
373,Peking Univ. Press,Peking Univ. Press,Peking Univ. Press,1,100.0,1,1,Peking Univ. Press
374,"EVAM, the Visual Studies and Media Archaeology Observatory of NOVA Institute of Communication Sciences (ICNOVA)","EVAM, the Visual Studies and Media Archaeology Observatory of NOVA Institute of Communication Sciences (ICNOVA)","EVAM, the Visual Studies and Media Archaeology Observatory of NOVA Institute of Communication Sciences (ICNOVA)",1,100.0,1,1,"EVAM, the Visual Studies and Media Archaeology Observatory of NOVA Institute of Communication Sciences (ICNOVA)"
375,McFarland,McFarland,McFarland,1,100.0,1,1,McFarland
376,British Society of Gerontology,British Society of Gerontology,British Society of Gerontology,5,100.0,1,5,British Society of Gerontology
377,Center for Modern China,Center for Modern China,Center for Modern China,1,100.0,1,1,Center for Modern China
378,"IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund","IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund","IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund",1,100.0,1,1,"IfADo - Leibniz Research Centre for Working Environment and Human Factors, Dortmund"
379,Aston University,Aston University,Aston University,1,100.0,1,1,Aston University
380,AHFE International,AHFE International,AHFE International,1,100.0,1,1,AHFE International
381,Theime,Theime,Theime,2,100.0,1,2,Theime
382,Éditions et presses universitaires de Reims (ÉPURe),Éditions et presses universitaires de Reims (ÉPURe),Éditions et presses universitaires de Reims (ÉPURe),1,100.0,1,1,Éditions et presses universitaires de Reims (ÉPURe)
383,Zenodo,Zenodo,Zenodo,2,100.0,1,2,Zenodo
384,Manchester Geographical Society,Manchester Geographical Society,Manchester Geographical Society,10,100.0,2,10,"Manchester Geographical Society, Manchester Goeographical Society"
384,Manchester Geographical Society,Manchester Geographical Society,Manchester Goeographical Society,5,97.87234042553192,2,10,"Manchester Geographical Society, Manchester Goeographical Society"
385,Marx & Philosophy Society,Marx & Philosophy Society,Marx & Philosophy Society,1,100.0,1,1,Marx & Philosophy Society
386,MAGGIOLI S.p.A.,MAGGIOLI S.p.A.,MAGGIOLI S.p.A.,1,100.0,1,1,MAGGIOLI S.p.A.
387,Lupine Online,Lupine Online,Lupine Online,1,100.0,1,1,Lupine Online
388,F1000Research,F1000Research,F1000Research,2,100.0,1,2,F1000Research
389,University of Salford,University of Salford,University of Salford,2,100.0,1,2,University of Salford
390,ARROW@TU Dublin,ARROW@TU Dublin,ARROW@TU Dublin,1,100.0,1,1,ARROW@TU Dublin
